,Total,White,Hispanic/Latin,African/American,Asian,State,District
0,704457,461122,21318,192647,,01,01
1,681621,417538,23757,219450,7813,01,02
2,709482,480942,21499,186240,13838,01,03
3,683273,569265,45555,48274,,01,04
4,712529,517608,36075,127192,10823,01,05
5,706308,537875,34100,104942,11142,01,06
6,665630,212797,17382,422357,,01,07
7,741894,452757,51304,23753,45580,02,00
8,766924,379131,167329,17994,11702,04,01
9,722770,442307,203864,29259,22374,04,02
10,752284,204310,470070,33567,12629,04,03
11,753807,556857,145119,12380,11496,04,04
12,785110,554476,142569,27576,34889,04,05
13,764776,553838,128302,16806,37208,04,06
14,818387,162635,524111,80721,21977,04,07
15,782511,546975,149949,30356,30189,04,08
16,784502,434195,213462,51015,37974,04,09
17,725733,551229,23240,128849,,05,01
18,758929,516534,39283,169451,11620,05,02
19,794237,599145,112548,24659,22714,05,03
20,709349,508318,39473,141557,,05,04
21,703162,541324,94459,9277,21071,06,01
22,716202,505512,127270,,26034,06,02
23,740253,355337,219817,46680,78438,06,03
24,737169,555327,101290,10067,38436,06,04
25,735968,362977,204489,47037,85544,06,05
26,763987,282778,212648,98366,118028,06,06
27,738468,387959,128591,51534,116339,06,07
28,723600,316730,292176,65440,23077,06,08
29,760794,255357,290773,72228,110537,06,09
30,744989,318597,321802,25270,52103,06,10
31,756337,345807,210398,57698,104338,06,11
32,756991,326772,112626,39062,243364,06,12
33,755243,262521,159479,129791,157939,06,13
34,749041,256052,172550,20072,258309,06,14
35,769371,255824,177275,38862,258159,06,15
36,730141,163988,439301,45607,68283,06,16
37,774647,179368,127633,21590,416779,06,17
38,739012,391000,125543,14992,170733,06,18
39,762005,195552,307779,21105,212905,06,19
40,743764,274431,393913,13614,40210,06,20
41,726385,120493,548582,28228,18170,06,21
42,755289,291527,363632,18265,66466,06,22
43,725299,332797,278125,46979,42333,06,23
44,738700,401622,267612,13487,35998,06,24
45,728858,309452,284066,50867,59730,06,25
46,726532,316595,328332,12638,49852,06,26
47,724293,183159,203066,36874,280749,06,27
48,709613,393348,174830,22690,95085,06,28
49,726264,140315,496228,23707,55612,06,29
50,759943,385891,215506,45261,92196,06,30
51,742627,194415,397886,75512,58965,06,31
52,719488,107144,441014,23671,137871,06,32
53,712919,461834,91846,22501,105648,06,33
54,758622,80659,484523,34628,145779,06,34
55,744729,105927,527633,47079,53828,06,35
56,749841,300085,370893,33439,26241,06,36
57,729010,183081,288700,159397,72214,06,37
58,708889,118664,426218,32845,119847,06,38
59,729909,206899,250646,17724,232720,06,39
60,723345,31779,636736,30650,19002,06,40
61,760165,184013,450959,73014,40116,06,41
62,793044,331094,312449,39691,74787,06,42
63,724077,108877,339681,160363,93102,06,43
64,723685,49148,511063,110038,40379,06,44
65,774130,392949,140494,12535,198172,06,45
66,736031,128358,488378,12620,94870,06,46
67,714311,216832,262376,55075,154205,06,47
68,727100,409462,156640,9740,128956,06,48
69,739697,448989,199327,16624,46297,06,49
70,751527,410937,236000,27060,42357,06,50
71,747202,97965,525778,50698,60709,06,51
72,750537,443248,101718,21469,152311,06,52
73,766812,304958,260027,62026,106881,06,53
74,812843,470719,224689,70294,28668,08,01
75,803470,664541,84608,,25603,08,02
76,738119,522955,179514,7341,6191,08,03
77,795836,576241,176988,11425,15828,08,04
78,786939,563035,124676,46332,18824,08,05
79,813566,501178,156313,76749,53668,08,06
80,789772,498064,234430,14169,27169,08,07
81,712461,433613,119491,110578,36482,09,01
82,705034,576189,58604,28710,25011,09,02
83,717162,458328,110187,100372,35905,09,03
84,732469,447090,144971,92198,38601,09,04
85,709326,496549,129094,47074,25951,09,05
86,952065,597331,87152,209911,35646,10,00
87,681170,247185,74422,320554,26436,11,98
88,762506,558778,48518,105270,19547,12,01
89,720418,549661,46027,91756,15169,12,02
90,732088,502099,70202,113730,25779,12,03
91,778620,588423,63867,68651,35649,12,04
92,728346,288243,57979,347373,14616,12,05
93,765005,563432,96280,78484,12967,12,06
94,762326,442954,192914,81270,32704,12,07
95,744430,559318,77786,69137,16962,12,08
96,832753,356589,324977,117306,28687,12,09
