,STATEFP,DISTRICT,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
0,1,1,2014,MH_fac,11,Alabama,AL
1,1,2,2014,MH_fac,21,Alabama,AL
2,1,3,2014,MH_fac,26,Alabama,AL
3,1,4,2014,MH_fac,28,Alabama,AL
4,1,5,2014,MH_fac,16,Alabama,AL
5,1,6,2014,MH_fac,29,Alabama,AL
6,1,7,2014,MH_fac,43,Alabama,AL
7,2,1,2014,MH_fac,80,Alaska,AK
8,4,1,2014,MH_fac,293,Arizona,AZ
9,4,2,2014,MH_fac,71,Arizona,AZ
10,4,3,2014,MH_fac,246,Arizona,AZ
11,4,4,2014,MH_fac,230,Arizona,AZ
12,4,5,2014,MH_fac,150,Arizona,AZ
13,4,6,2014,MH_fac,150,Arizona,AZ
14,4,7,2014,MH_fac,150,Arizona,AZ
15,4,8,2014,MH_fac,150,Arizona,AZ
16,4,9,2014,MH_fac,150,Arizona,AZ
17,5,1,2014,MH_fac,78,Arkansas,AR
18,5,2,2014,MH_fac,47,Arkansas,AR
19,5,3,2014,MH_fac,27,Arkansas,AR
20,5,4,2014,MH_fac,71,Arkansas,AR
21,6,1,2014,MH_fac,31,California,CA
22,6,10,2014,MH_fac,18,California,CA
23,6,11,2014,MH_fac,21,California,CA
24,6,12,2014,MH_fac,30,California,CA
25,6,13,2014,MH_fac,74,California,CA
26,6,14,2014,MH_fac,41,California,CA
27,6,15,2014,MH_fac,65,California,CA
28,6,16,2014,MH_fac,16,California,CA
29,6,17,2014,MH_fac,79,California,CA
30,6,18,2014,MH_fac,51,California,CA
31,6,19,2014,MH_fac,35,California,CA
32,6,2,2014,MH_fac,28,California,CA
33,6,20,2014,MH_fac,48,California,CA
34,6,21,2014,MH_fac,23,California,CA
35,6,22,2014,MH_fac,10,California,CA
36,6,23,2014,MH_fac,208,California,CA
37,6,24,2014,MH_fac,22,California,CA
38,6,25,2014,MH_fac,204,California,CA
39,6,26,2014,MH_fac,204,California,CA
40,6,27,2014,MH_fac,212,California,CA
41,6,28,2014,MH_fac,192,California,CA
42,6,29,2014,MH_fac,192,California,CA
43,6,3,2014,MH_fac,42,California,CA
44,6,30,2014,MH_fac,204,California,CA
45,6,31,2014,MH_fac,20,California,CA
46,6,32,2014,MH_fac,192,California,CA
47,6,33,2014,MH_fac,192,California,CA
48,6,34,2014,MH_fac,192,California,CA
49,6,35,2014,MH_fac,212,California,CA
50,6,36,2014,MH_fac,30,California,CA
51,6,37,2014,MH_fac,192,California,CA
52,6,38,2014,MH_fac,222,California,CA
53,6,39,2014,MH_fac,242,California,CA
54,6,4,2014,MH_fac,30,California,CA
55,6,40,2014,MH_fac,192,California,CA
56,6,41,2014,MH_fac,30,California,CA
57,6,42,2014,MH_fac,30,California,CA
58,6,43,2014,MH_fac,192,California,CA
59,6,44,2014,MH_fac,192,California,CA
60,6,45,2014,MH_fac,30,California,CA
61,6,46,2014,MH_fac,30,California,CA
62,6,47,2014,MH_fac,222,California,CA
63,6,48,2014,MH_fac,30,California,CA
64,6,49,2014,MH_fac,88,California,CA
65,6,5,2014,MH_fac,53,California,CA
66,6,50,2014,MH_fac,88,California,CA
67,6,51,2014,MH_fac,59,California,CA
68,6,52,2014,MH_fac,58,California,CA
69,6,53,2014,MH_fac,58,California,CA
70,6,6,2014,MH_fac,24,California,CA
71,6,7,2014,MH_fac,19,California,CA
72,6,8,2014,MH_fac,23,California,CA
73,6,9,2014,MH_fac,49,California,CA
74,8,1,2014,MH_fac,49,Colorado,CO
75,8,2,2014,MH_fac,36,Colorado,CO
76,8,3,2014,MH_fac,42,Colorado,CO
77,8,4,2014,MH_fac,69,Colorado,CO
78,8,5,2014,MH_fac,15,Colorado,CO
79,8,6,2014,MH_fac,33,Colorado,CO
80,8,7,2014,MH_fac,20,Colorado,CO
81,9,1,2014,MH_fac,61,Connecticut,CT
82,9,2,2014,MH_fac,137,Connecticut,CT
83,9,3,2014,MH_fac,111,Connecticut,CT
84,9,4,2014,MH_fac,105,Connecticut,CT
85,9,5,2014,MH_fac,160,Connecticut,CT
86,10,1,2014,MH_fac,31,Delaware,DE
87,11,1,2014,MH_fac,35,District of Columbia,DC
88,12,1,2014,MH_fac,12,Florida,FL
89,12,10,2014,MH_fac,32,Florida,FL
90,12,11,2014,MH_fac,18,Florida,FL
91,12,12,2014,MH_fac,50,Florida,FL
92,12,13,2014,MH_fac,21,Florida,FL
93,12,14,2014,MH_fac,18,Florida,FL
94,12,15,2014,MH_fac,37,Florida,FL
95,12,16,2014,MH_fac,32,Florida,FL
96,12,17,2014,MH_fac,44,Florida,FL
97,12,18,2014,MH_fac,38,Florida,FL
98,12,19,2014,MH_fac,19,Florida,FL
99,12,2,2014,MH_fac,30,Florida,FL
100,12,20,2014,MH_fac,76,Florida,FL
