,id,first_name,last_name,party,district,state,total_votes,missed_votes,seniority,missed_votes_pct,votes_with_party_pct,State_Disct
0,A000374,Ralph,Abraham,R,5,LA,1212.0,18.0,4,1.49,96.98,LA-5
1,A000370,Alma,Adams,D,12,NC,1212.0,32.0,6,2.64,95.93,NC-12
2,A000055,Robert,Aderholt,R,4,AL,1212.0,50.0,22,4.13,96.9,AL-4
3,A000371,Pete,Aguilar,D,31,CA,1212.0,14.0,4,1.16,92.49,CA-31
4,A000372,Rick,Allen,R,12,GA,1212.0,16.0,4,1.32,97.91,GA-12
5,A000367,Justin,Amash,R,3,MI,1212.0,1.0,8,0.08,65.73,MI-3
6,A000369,Mark,Amodei,R,2,NV,1212.0,36.0,8,2.97,95.83,NV-2
7,A000375,Jodey,Arrington,R,19,TX,1212.0,32.0,2,2.64,98.56,TX-19
8,B001291,Brian,Babin,R,36,TX,1212.0,20.0,4,1.65,95.64,TX-36
9,B001298,Don,Bacon,R,2,NE,1212.0,1.0,2,0.08,96.2,NE-2
10,B001306,Troy,Balderson,R,12,OH,116.0,1.0,2,0.86,100.0,OH-12
11,B001299,Jim,Banks,R,3,IN,1212.0,5.0,2,0.41,96.77,IN-3
12,B001269,Lou,Barletta,R,11,PA,1212.0,139.0,8,11.47,95.15,PA-11
13,B001282,Andy,Barr,R,6,KY,1212.0,22.0,6,1.82,96.55,KY-6
14,B001300,Nanette,Barragán,D,44,CA,1212.0,31.0,2,2.56,94.5,CA-44
15,B000213,Joe,Barton,R,6,TX,1212.0,56.0,34,4.62,95.93,TX-6
16,B001270,Karen,Bass,D,37,CA,1212.0,104.0,8,8.58,93.41,CA-37
17,B001281,Joyce,Beatty,D,3,OH,1212.0,68.0,6,5.61,94.67,OH-3
18,B000287,Xavier,Becerra,D,34,CA,61.0,42.0,26,68.85,89.47,CA-34
19,B001287,Ami,Bera,D,7,CA,1212.0,1.0,6,0.08,90.75,CA-7
20,B001301,Jack,Bergman,R,1,MI,1212.0,12.0,2,0.99,93.5,MI-1
21,B001292,Donald,Beyer,D,8,VA,1212.0,58.0,4,4.79,94.02,VA-8
22,B001302,Andy,Biggs,R,5,AZ,1212.0,4.0,2,0.33,84.77,AZ-5
23,B001257,Gus,Bilirakis,R,12,FL,1212.0,53.0,14,4.37,97.84,FL-12
24,B000490,Sanford,Bishop,D,2,GA,1212.0,46.0,26,3.8,90.91,GA-2
25,B001293,Mike,Bishop,R,8,MI,1212.0,54.0,4,4.46,94.82,MI-8
26,B001250,Rob,Bishop,R,1,UT,1212.0,33.0,16,2.72,96.78,UT-1
27,B001273,Diane,Black,R,6,TN,1212.0,320.0,8,26.4,97.76,TN-6
28,B001243,Marsha,Blackburn,R,7,TN,1212.0,196.0,16,16.17,96.06,TN-7
29,B001294,Rod,Blum,R,1,IA,1212.0,67.0,4,5.53,89.69,IA-1
30,B000574,Earl,Blumenauer,D,3,OR,1212.0,73.0,24,6.02,92.19,OR-3
31,B001303,Lisa,Blunt Rochester,D,At-Large,DE,1212.0,19.0,2,1.57,95.05,DE-At-Large
32,B001278,Suzanne,Bonamici,D,1,OR,1212.0,7.0,8,0.58,93.28,OR-1
33,B001245,Madeleine,Bordallo,D,At-Large,GU,0.0,,16,,,GU-At-Large
34,B001295,Mike,Bost,R,12,IL,1212.0,7.0,4,0.58,92.78,IL-12
35,B001296,Brendan,Boyle,D,13,PA,1212.0,71.0,4,5.86,94.13,PA-13
36,B000755,Kevin,Brady,R,8,TX,1212.0,51.0,22,4.21,97.85,TX-8
37,B001227,Robert,Brady,D,1,PA,1212.0,92.0,22,7.59,94.91,PA-1
38,B001290,David,Brat,R,7,VA,1212.0,22.0,6,1.82,94.71,VA-7
39,B001283,Jim,Bridenstine,R,1,OK,859.0,328.0,6,38.18,96.61,OK-1
40,B001284,Susan,Brooks,R,5,IN,1212.0,15.0,6,1.24,96.91,IN-5
41,B001274,Mo,Brooks,R,5,AL,1212.0,76.0,8,6.27,90.14,AL-5
42,B001304,Anthony,Brown,D,4,MD,1212.0,53.0,2,4.37,94.48,MD-4
43,B001285,Julia,Brownley,D,26,CA,1212.0,29.0,6,2.39,93.74,CA-26
44,B001260,Vern,Buchanan,R,16,FL,1212.0,93.0,12,7.67,95.35,FL-16
45,B001297,Ken,Buck,R,4,CO,1212.0,30.0,4,2.48,90.61,CO-4
46,B001275,Larry,Bucshon,R,8,IN,1212.0,13.0,8,1.07,95.83,IN-8
47,B001305,Ted,Budd,R,13,NC,1212.0,7.0,2,0.58,95.52,NC-13
48,B001248,Michael,Burgess,R,26,TX,1212.0,23.0,16,1.9,93.94,TX-26
49,B001286,Cheri,Bustos,D,17,IL,1212.0,9.0,6,0.74,91.6,IL-17
50,B001251,G.,Butterfield,D,1,NC,1212.0,85.0,16,7.01,94.85,NC-1
51,B001289,Bradley,Byrne,R,1,AL,1212.0,8.0,6,0.66,97.76,AL-1
52,C000059,Ken,Calvert,R,42,CA,1212.0,12.0,26,0.99,97.25,CA-42
53,C001037,Michael,Capuano,D,7,MA,1212.0,81.0,20,6.68,93.72,MA-7
54,C001112,Salud,Carbajal,D,24,CA,1212.0,29.0,2,2.39,92.65,CA-24
55,C001097,Tony,Cárdenas,D,29,CA,1212.0,81.0,6,6.68,94.16,CA-29
56,C001072,André,Carson,D,7,IN,1212.0,33.0,12,2.72,93.89,IN-7
57,C001051,John,Carter,R,31,TX,1212.0,39.0,16,3.22,97.27,TX-31
58,C001103,Buddy,Carter,R,1,GA,1212.0,27.0,4,2.23,94.68,GA-1
59,C001090,Matt,Cartwright,D,17,PA,1212.0,12.0,6,0.99,93.67,PA-17
60,C001066,Kathy,Castor,D,14,FL,1212.0,43.0,12,3.55,94.87,FL-14
61,C001091,Joaquín,Castro,D,20,TX,1212.0,12.0,6,0.99,93.83,TX-20
62,C000266,Steven,Chabot,R,1,OH,1212.0,3.0,8,0.25,97.52,OH-1
63,C001076,Jason,Chaffetz,R,3,UT,344.0,45.0,10,13.08,98.33,UT-3
64,C001109,Liz,Cheney,R,At-Large,WY,1212.0,53.0,2,4.37,96.12,WY-At-Large
65,C001080,Judy,Chu,D,27,CA,1212.0,27.0,12,2.23,93.59,CA-27
66,C001084,David,Cicilline,D,1,RI,1212.0,23.0,8,1.9,94.87,RI-1
67,C001101,Katherine,Clark,D,5,MA,1212.0,31.0,6,2.56,95.09,MA-5
68,C001067,Yvette,Clarke,D,9,NY,1212.0,33.0,12,2.72,93.64,NY-9
69,C001049,William,Clay,D,1,MO,1212.0,59.0,18,4.87,94.02,MO-1
