,STATEFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
0,00,2014,MH_fac,10424,United States,US
1,01,2014,MH_fac,135,Alabama,AL
2,02,2014,MH_fac,80,Alaska,AK
3,04,2014,MH_fac,327,Arizona,AZ
4,05,2014,MH_fac,209,Arkansas,AR
5,06,2014,MH_fac,674,California,CA
6,08,2014,MH_fac,167,Colorado,CO
7,09,2014,MH_fac,204,Connecticut,CT
8,10,2014,MH_fac,31,Delaware,DE
9,11,2014,MH_fac,35,District of Columbia,DC
10,12,2014,MH_fac,442,Florida,FL
11,13,2014,MH_fac,194,Georgia,GA
12,15,2014,MH_fac,48,Hawaii,HI
13,16,2014,MH_fac,187,Idaho,ID
14,17,2014,MH_fac,377,Illinois,IL
15,18,2014,MH_fac,248,Indiana,IN
16,19,2014,MH_fac,136,Iowa,IA
17,20,2014,MH_fac,119,Kansas,KS
18,21,2014,MH_fac,181,Kentucky,KY
19,22,2014,MH_fac,141,Louisiana,LA
20,23,2014,MH_fac,184,Maine,ME
21,24,2014,MH_fac,233,Maryland,MD
22,25,2014,MH_fac,258,Massachusetts,MA
23,26,2014,MH_fac,307,Michigan,MI
24,27,2014,MH_fac,196,Minnesota,MN
25,28,2014,MH_fac,160,Mississippi,MS
26,29,2014,MH_fac,187,Missouri,MO
27,30,2014,MH_fac,90,Montana,MT
28,31,2014,MH_fac,94,Nebraska,NE
29,32,2014,MH_fac,42,Nevada,NV
30,33,2014,MH_fac,49,New Hampshire,NH
31,34,2014,MH_fac,252,New Jersey,NJ
32,35,2014,MH_fac,52,New Mexico,NM
33,36,2014,MH_fac,848,New York,NY
34,37,2014,MH_fac,313,North Carolina,NC
35,38,2014,MH_fac,25,North Dakota,ND
36,39,2014,MH_fac,494,Ohio,OH
37,40,2014,MH_fac,140,Oklahoma,OK
38,41,2014,MH_fac,130,Oregon,OR
39,42,2014,MH_fac,520,Pennsylvania,PA
40,44,2014,MH_fac,56,Rhode Island,RI
41,45,2014,MH_fac,91,South Carolina,SC
42,46,2014,MH_fac,43,South Dakota,SD
43,47,2014,MH_fac,243,Tennessee,TN
44,48,2014,MH_fac,262,Texas,TX
45,49,2014,MH_fac,78,Utah,UT
46,50,2014,MH_fac,56,Vermont,VT
47,51,2014,MH_fac,255,Virginia,VA
48,53,2014,MH_fac,210,Washington,WA
49,54,2014,MH_fac,109,West Virginia,WV
50,55,2014,MH_fac,372,Wisconsin,WI
51,56,2014,MH_fac,47,Wyoming,WY
52,72,2014,MH_fac,93,Puerto Rico,PR
53,00,2014,Med_MH_fac,9262,United States,US
54,01,2014,Med_MH_fac,121,Alabama,AL
55,02,2014,Med_MH_fac,71,Alaska,AK
56,04,2014,Med_MH_fac,269,Arizona,AZ
57,05,2014,Med_MH_fac,201,Arkansas,AR
58,06,2014,Med_MH_fac,478,California,CA
59,08,2014,Med_MH_fac,158,Colorado,CO
60,09,2014,Med_MH_fac,192,Connecticut,CT
61,10,2014,Med_MH_fac,24,Delaware,DE
62,11,2014,Med_MH_fac,28,District of Columbia,DC
63,12,2014,Med_MH_fac,359,Florida,FL
64,13,2014,Med_MH_fac,180,Georgia,GA
65,15,2014,Med_MH_fac,41,Hawaii,HI
